 FUNCION= X**5-6.15_8*(X**4)+13.76_8*(X**3)-12.544_8*(X**2)+2.4576_8*X+1.7384_8
 PUNTO INICIAL=  -1.0
 VALOR DE m=  4
 NUMERO DE ITERACIONES=  101
 COTA DE ERROR=  1.0E-9
 
 ITERACION...APROXIMACION                

     1     0.38879315950322
     2     2.85906279092207
     3     1.70111705640640
     4   -47.33743811886204
     5    -8.49271864634684
     6    -0.76541707523357
     7     0.32931728016058
     8     3.32904594043626
     9     1.78150053562212
    10    -6.44899881394634
    11    -0.37251212280048
    12    -0.00114786092639
    13    -2.79317842477474
    14     0.27466172801072
    15     4.09362781211880
    16     1.91167402697940
    17     0.13605707322554
    18    29.88189443118396
    19     6.97509826052217
    20     2.44285022562198
    21     1.60364610759801
    22 ********************
    23 ********************
    24 ********************
    25 -8898.17734827950335
    26 -1778.65151888779019
    27  -354.74655005989143
    28   -69.96654450421676
    29   -13.01555946179412
    30    -1.65246453524254
    31     0.40503658862455
    32     2.76641752948373
    33     1.68377161611153
    34   -85.42048511353181
    35   -16.10521834182001
    36    -2.26404450156230
    37     0.34685450722573
    38     3.16367649352688
    39     1.75379184250206
    40   -11.85860180846312
    41    -1.42429498228243
    42     0.41359184793514
    43     2.72202913810301
    44     1.67500140162022
    45  -120.34064470793801
    46   -23.08776564837413
    47    -3.65242979894871
    48     0.13724094500815
    49    27.90328228379636
    50     6.58042405396036
    51     2.36779436359147
    52     1.57382026710752
    53  3068.38724157994648
    54   614.66159109364344
    55   123.91703107528076
    56    25.77094491022909
    57     6.15526727434316
    58     2.28749989895274
    59     1.53003011424615
    60   167.22653848337995
    61    34.43192925766559
    62     7.88315335685845
    63     2.61701980341799
    64     1.65238861589113
    65  -361.48630470038131
    66   -71.31447242338277
    67   -13.28502710092624
    68    -1.70568750683270
    69     0.40169600886641
    70     2.78453804927774
    71     1.68725455320405
    72   -75.23881498781107
    73   -14.06957625479576
    74    -1.86079008366626
    75     0.38970333550499
    76     2.85355631285392
    77     1.70011438378850
    78   -48.85463921333209
    79    -8.79587289320463
    80    -0.82431740623537
    81     0.34927899804969
    82     3.14287925306339
    83     1.75029163245988
    84   -12.85230177907529
    85    -1.62023281266025
    86     0.40684036357164
    87     2.75682150503984
    88     1.68190579305619
    89   -91.61531893450439
    90   -17.34383926600597
    91    -2.50985350366300
    92     0.31501147114380
    93     3.48677886036144
    94     1.80793657831742
    95    -3.66646149291282
    96     0.13486664800938
    97    32.18925697647224
    98     7.43551174312578
    99     2.53093102971930
   100     1.63076251401446
   101     0.00000000000000
